spec_id,product_name,spec_name,spec_value
spec_067,Sony PlayStation5,Storage,1TB SSD
spec_068,Sony PlayStation5,CPU,AMD Zen 2 8-core
spec_069,Microsoft Xbox SeriesX,Storage,1TB NVMe
spec_070,Microsoft Xbox SeriesX,GPU,12 TFLOPs RDNA 2
spec_071,JBL Charge-5,Output Power,40W
spec_072,JBL Charge-5,Battery,20 hours
spec_073,Sony SRS XB33,Waterproof,IP67
spec_074,Sony SRS XB33,Battery,24 hours
spec_075,Bose HomeSpeaker500,Connectivity,Wi-Fi + Bluetooth
spec_076,Bose HomeSpeaker500,Assistant,Alexa + Google
spec_077,Apple iPad Air5,Display,10.9 inch Liquid Retina
spec_078,Apple iPad Air5,Chip,M1
spec_079,Samsung Galaxy TabS9,Display,11 inch Dynamic AMOLED
spec_080,Samsung Galaxy TabS9,RAM,8GB
spec_081,Sony Alpha A7-IV,Sensor,33MP Full Frame
spec_082,Sony Alpha A7-IV,Video,4K 60fps
spec_083,Canon EOS R6-II,Sensor,24MP Full Frame
spec_084,Canon EOS R6-II,Video,4K 60fps
spec_085,Nikon Z6-II,Sensor,24.5MP Full Frame
spec_086,Nikon Z6-II,Stabilization,5-axis IBIS
spec_087,Logitech MX Master-3,Connectivity,Bluetooth + Unifying
spec_088,Logitech MX Master-3,Battery,70 days
spec_089,Samsung T7 Shield SSD,Capacity,1TB
spec_090,Samsung T7 Shield SSD,Speed,1050MB/s
spec_091,Netgear Nighthawk RAX50,WiFi Standard,WiFi 6
spec_092,Netgear Nighthawk RAX50,Speed,5.4Gbps
spec_093,Apple MagSafe BatteryPack,Capacity,1460mAh
spec_094,Apple MagSafe BatteryPack,Output,15W Wireless
spec_095,Anker Powercore 26800,Capacity,26800mAh
spec_096,Anker Powercore 26800,Ports,3 USB Outputs
spec_097,Samsung Odyssey-G7,Display,32 inch QHD Curved
spec_098,Samsung Odyssey-G7,Refresh Rate,240Hz
spec_099,Google NestAudio,Assistant,Google Assistant
spec_100,Google NestAudio,Power,30W RMS
spec_101,Canon EOS 90D,Sensor,32.5MP APS-C
spec_102,Canon EOS 90D,Video,4K UHD
spec_103,Sony ZV-E10,Sensor,24.2MP APS-C
spec_104,Sony ZV-E10,Display,Flip-Out LCD
spec_105,Beats Studio3,ANC,Yes
spec_106,Beats Studio3,Battery,22 hours
spec_107,Ring Video Doorbell4,Video Resolution,1080p
spec_108,Ring Video Doorbell4,Power,Rechargeable Battery
spec_109,Xiaomi Poco F6,Processor,Dimensity 8300 Ultra
spec_110,Xiaomi Poco F6,Battery,5000mAh
spec_111,Asus Vivobook Go14,Display,14 inch FHD
spec_112,Asus Vivobook Go14,RAM,8GB
spec_113,Boat Stone 1200,Output Power,14W
spec_114,Boat Stone 1200,Battery,3600mAh
spec_115,Noise ColorFit Pro5,Display,1.8 inch AMOLED
spec_116,Noise ColorFit Pro5,Battery,10 days
spec_117,LG UltraFine27,Resolution,5K UHD
spec_118,LG UltraFine27,Ports,Thunderbolt 3
spec_119,Samsung Frame TV55,Display,55 inch QLED
spec_120,Samsung Frame TV55,Smart Features,Tizen OS
